Codigo_Planta,Nombre_Recurso_UPME,Departamento,Codigo_Municipio,Municipio,Region_Geografica,Longitud,Latitud,Capacidad_Efectiva_MW,Tipo_Generacion_UPME,Combustible_UPME,Tipo_Despacho_UPME,Clasificacion_UPME,Estado_Recurso_UPME,Agente_Representante_UPME,Fecha_Operacion_UPME,Anio_FPO_UPME,Fecha_Actualizacion_UPME,Factor_Conversion,Es_Menor,Id_UPME
2QBW,EL POPAL,ANTIOQUIA,05197,COCORNÁ,Antioquia,-75.16031703775977,6.005611510393588,19.9,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ISAGEN S.A. E.S.P.,2014-03-30,2014,2026-08-03,1.442,SI,21
2QEK,SALTO II,CUNDINAMARCA,25245,EL COLEGIO,Centro,-74.42658588583394,4.556946538829463,35.0,HIDRAULICA,AGUA,DC,FILO DE AGUA,OPERACIÓN,ENEL COLOMBIA SA ESP,2014-06-24,2014,2026-08-03,3.3736,NO,355
2QRL,LA REBUSCA,ANTIOQUIA,05670,SAN ROQUE,Antioquia,-74.94524773669791,6.466121322594473,0.7,HIDRAULICA,AGUA,ND,GEN. DISTRIBUIDA,OPERACIÓN,HZ ENERGY S.A.S. E.S.P.,2014-07-23,2014,2026-08-03,1.09,SI,69
2QV2,BAJO TULUA,VALLE DEL CAUCA,76834,TULUÁ,Pacífico,-76.0325294150837,4.028420260976358,19.9,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,CELSIA COLOMBIA S.A. E.S.P.,2015-01-29,2015,2026-08-03,1.65,SI,630
2R22,LAGUNETA,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,Centro,-74.34490348911615,4.599741063787057,18.0,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ENEL COLOMBIA SA ESP,2014-12-16,2014,2026-08-03,2.509,SI,363
2S6Q,AUTOG YAGUARITO 1,META,50680,SAN CARLOS DE GUAROA,Oriente,-73.27583347472584,3.8476152582255083,1.6,TERMICA,BIOGAS,ND,AUTOGENERADOR,OPERACIÓN,ELECTRIFICADORA DEL META S.A. E.S.P.,2016-03-21,2016,2026-08-03,0.0,NO,431
2S6S,AUTOG ARGOS YUMBO 1,VALLE DEL CAUCA,76892,YUMBO,Pacífico,-76.51099150889527,3.595908339346365,9.9,TERMICA,CARBON,ND,AUTOGENERADOR,OPERACIÓN,DEPI ENERGY S.A.S. E.S.P.,2016-03-19,2016,2026-08-03,0.0,SI,637
2S6U,AUTOG ARGOS EL CAIRO,ANTIOQUIA,05679,SANTA BÁRBARA,Antioquia,-75.58330113705043,5.878979695747031,6.5,HIDRAULICA,AGUA,ND,AUTOGENERADOR,OPERACIÓN,COMPAÑÍA ELÉCTRICA DE SOCHAGOTA  S.A.S. E.S.P.,2017-09-28,2017,2026-08-03,0.0,NO,76
2S78,LA FRISOLERA,CALDAS,17653,SALAMINA,Eje Cafetero,-75.40962186881548,5.370331381475147,0.47,HIDRAULICA,AGUA,ND,GEN. DISTRIBUIDA,OPERACIÓN,SIGMA2 COMERCIALIZADORA  DE ENERGIA ELECTRICA SAS ESP,2016-04-28,2016,2026-08-03,0.5625,SI,203
2S8I,AUTOG REFICAR 1,BOLÍVAR,13001,CARTAGENA DE INDIAS,Caribe,-75.45921916563543,10.46297167339698,19.9,TERMICA,GAS,ND,AUTOGENERADOR,OPERACIÓN,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,2016-04-25,2016,2026-08-03,0.0,NO,163
