Codigo_Planta,Nombre_Planta_SIMEM,CodigoAreaOperativa,Area_Operativa,CodigoSubAreaOperativa,Subarea_Operativa,TipoGeneracion,TipoDespachoRecurso,CodigoSICAgente,Fecha,FechaPublicacion,Fuente,Nombre_Recurso_UPME,Departamento,Codigo_Municipio,Municipio,Region_Geografica,Longitud,Latitud,Capacidad_Efectiva_MW,Tipo_Generacion_UPME,Combustible_UPME,Tipo_Despacho_UPME,Clasificacion_UPME,Estado_Recurso_UPME,Agente_Representante_UPME,Fecha_Operacion_UPME,Anio_FPO_UPME,Fecha_Actualizacion_UPME,Factor_Conversion,Es_Menor,Id_UPME,En_SIMEM,En_UPME,Fuente_Cobertura
2QBW,EL POPAL,Are0002,Area Antioquia,Are0015,SubArea Antioquia,Hidraulica,No Despachado Centralmente,ISGG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,EL POPAL,ANTIOQUIA,5197.0,COCORNÁ,Antioquia,-75.16031703775977,6.005611510393588,19.9,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ISAGEN S.A. E.S.P.,2014-03-30,2014.0,2026-08-03,1.442,SI,21.0,True,True,SIMEM + UPME
2QEK,SALTO II,Are0056,Area Oriental,Are0017,SubArea Bogota,Hidraulica,Despachado Centralmente,ENDG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,SALTO II,CUNDINAMARCA,25245.0,EL COLEGIO,Centro,-74.42658588583394,4.556946538829463,35.0,HIDRAULICA,AGUA,DC,FILO DE AGUA,OPERACIÓN,ENEL COLOMBIA SA ESP,2014-06-24,2014.0,2026-08-03,3.3736,NO,355.0,True,True,SIMEM + UPME
2QRL,LA REBUSCA,Are0002,Area Antioquia,Are0015,SubArea Antioquia,Hidraulica,No Despachado Centralmente,HZEG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,LA REBUSCA,ANTIOQUIA,5670.0,SAN ROQUE,Antioquia,-74.94524773669791,6.466121322594473,0.7,HIDRAULICA,AGUA,ND,GEN. DISTRIBUIDA,OPERACIÓN,HZ ENERGY S.A.S. E.S.P.,2014-07-23,2014.0,2026-08-03,1.09,SI,69.0,True,True,SIMEM + UPME
2QV2,BAJO TULUA,Are0128,Area Suroccidental,Are0032,SubArea Valle,Hidraulica,No Despachado Centralmente,EPSG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,BAJO TULUA,VALLE DEL CAUCA,76834.0,TULUÁ,Pacífico,-76.0325294150837,4.028420260976358,19.9,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,CELSIA COLOMBIA S.A. E.S.P.,2015-01-29,2015.0,2026-08-03,1.65,SI,630.0,True,True,SIMEM + UPME
2R22,LAGUNETA,Are0056,Area Oriental,Are0017,SubArea Bogota,Hidraulica,No Despachado Centralmente,ENDG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,LAGUNETA,CUNDINAMARCA,25645.0,SAN ANTONIO DEL TEQUENDAMA,Centro,-74.34490348911615,4.599741063787057,18.0,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ENEL COLOMBIA SA ESP,2014-12-16,2014.0,2026-08-03,2.509,SI,363.0,True,True,SIMEM + UPME
2S6Q,AUTOG YAGUARITO 1,Are0056,Area Oriental,Are0027,SubArea Meta,Termica,No Despachado Centralmente,EMSG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,AUTOG YAGUARITO 1,META,50680.0,SAN CARLOS DE GUAROA,Oriente,-73.27583347472584,3.847615258225508,1.6,TERMICA,BIOGAS,ND,AUTOGENERADOR,OPERACIÓN,ELECTRIFICADORA DEL META S.A. E.S.P.,2016-03-21,2016.0,2026-08-03,0.0,NO,431.0,True,True,SIMEM + UPME
2S6S,AUTOG ARGOS YUMBO 1,Are0128,Area Suroccidental,Are0032,SubArea Valle,Termica,No Despachado Centralmente,DEPG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,AUTOG ARGOS YUMBO 1,VALLE DEL CAUCA,76892.0,YUMBO,Pacífico,-76.51099150889527,3.595908339346365,9.9,TERMICA,CARBON,ND,AUTOGENERADOR,OPERACIÓN,DEPI ENERGY S.A.S. E.S.P.,2016-03-19,2016.0,2026-08-03,0.0,SI,637.0,True,True,SIMEM + UPME
2S6U,AUTOG ARGOS EL CAIRO,Are0002,Area Antioquia,Are0015,SubArea Antioquia,Hidraulica,No Despachado Centralmente,SOCG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,AUTOG ARGOS EL CAIRO,ANTIOQUIA,5679.0,SANTA BÁRBARA,Antioquia,-75.58330113705043,5.878979695747031,6.5,HIDRAULICA,AGUA,ND,AUTOGENERADOR,OPERACIÓN,COMPAÑÍA ELÉCTRICA DE SOCHAGOTA  S.A.S. E.S.P.,2017-09-28,2017.0,2026-08-03,0.0,NO,76.0,True,True,SIMEM + UPME
2S78,LA FRISOLERA,Are0128,Area Suroccidental,Are0022,SubArea CQR,Hidraulica,No Despachado Centralmente,SGMG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,LA FRISOLERA,CALDAS,17653.0,SALAMINA,Eje Cafetero,-75.40962186881548,5.370331381475147,0.47,HIDRAULICA,AGUA,ND,GEN. DISTRIBUIDA,OPERACIÓN,SIGMA2 COMERCIALIZADORA  DE ENERGIA ELECTRICA SAS ESP,2016-04-28,2016.0,2026-08-03,0.5625,SI,203.0,True,True,SIMEM + UPME
2S8I,AUTOG REFICAR 1,Are0127,Area Caribe,Are0018,SubArea Bolivar,Termica,No Despachado Centralmente,GECG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,AUTOG REFICAR 1,BOLÍVAR,13001.0,CARTAGENA DE INDIAS,Caribe,-75.45921916563543,10.46297167339698,19.9,TERMICA,GAS,ND,AUTOGENERADOR,OPERACIÓN,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,2016-04-25,2016.0,2026-08-03,0.0,NO,163.0,True,True,SIMEM + UPME
2S8N,GUAVIO MENOR,Are0056,Area Oriental,Are0017,SubArea Bogota,Hidraulica,No Despachado Centralmente,ENDG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,GUAVIO MENOR,CUNDINAMARCA,25839.0,UBALÁ,Centro,-73.47654901977104,4.803804072868425,9.9,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ENEL COLOMBIA SA ESP,2016-04-26,2016.0,2026-08-03,0.0,SI,373.0,True,True,SIMEM + UPME
2S8S,DOÑA JUANA 1,Are0056,Area Oriental,Are0017,SubArea Bogota,Termica,No Despachado Centralmente,BDJG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,DOÑA JUANA 1,BOGOTÁ. D.C.,11001.0,BOGOTÁ. D.C.,Centro,-74.18113609108002,4.315974976392684,1.7,TERMICA,BIOGAS,ND,NORMAL,OPERACIÓN,BIOGAS COLOMBIA S.A.S. E.S.P ,2016-04-28,2016.0,2026-08-03,0.0,SI,151.0,True,True,SIMEM + UPME
2S8U,PORCE III MENOR,Are0002,Area Antioquia,Are0015,SubArea Antioquia,Hidraulica,No Despachado Centralmente,EPMG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,PORCE III MENOR,ANTIOQUIA,5040.0,ANORÍ,Antioquia,-75.10852543154942,7.193075754100771,1.8,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,2016-04-24,2016.0,2026-08-03,0.892,SI,8.0,True,True,SIMEM + UPME
2S9L,EL COCUYO,Are0128,Area Suroccidental,Are0032,SubArea Valle,Hidraulica,No Despachado Centralmente,PCYG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,EL COCUYO,VALLE DEL CAUCA,76863.0,VERSALLES,Pacífico,-76.25924917020893,4.644525432287519,0.7,HIDRAULICA,AGUA,ND,GEN. DISTRIBUIDA,OPERACIÓN,P.CH EL COCUYO SAS ESP,2016-05-19,2016.0,2026-08-03,0.1,SI,636.0,True,True,SIMEM + UPME
2S9Q,TEQUENDAMA BIOGAS 1,Are0127,Area Caribe,Are0025,SubArea GCM,Termica,No Despachado Centralmente,VESG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,TEQUENDAMA BIOGAS 1,MAGDALENA,47288.0,FUNDACIÓN,Caribe,-73.88413799783896,10.459407293689956,2.25,TERMICA,BIOGAS,ND,NORMAL,OPERACIÓN,VOLTAJE EMPRESARIAL S.A.S. E.S.P.,2016-06-24,2016.0,2026-08-03,0.0,SI,412.0,True,True,SIMEM + UPME
2SDR,ALEJANDRIA,Are0002,Area Antioquia,Are0015,SubArea Antioquia,Hidraulica,No Despachado Centralmente,GALG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,ALEJANDRIA,ANTIOQUIA,5021.0,ALEJANDRIA,Antioquia,-75.09060211472173,6.365533635684276,17.0,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,GENERADORA ALEJANDRIA S.A.S. E.S.P.,2017-03-01,2017.0,2026-08-03,1.063,SI,13.0,True,True,SIMEM + UPME
2SI1,MORRO AZUL,Are0128,Area Suroccidental,Are0022,SubArea CQR,Hidraulica,No Despachado Centralmente,RENG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,MORRO AZUL,RISARALDA,66088.0,BELÉN DE UMBRÍA,Eje Cafetero,-75.86794034758158,5.200397198145893,19.9,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,RISARALDA ENERGIA S.A.S. E.S.P.,2016-09-09,2016.0,2026-08-03,1.1306,SI,472.0,True,True,SIMEM + UPME
2SS2,MAGALLO,Are0002,Area Antioquia,Are0015,SubArea Antioquia,Hidraulica,No Despachado Centralmente,HCCG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,MAGALLO,ANTIOQUIA,5209.0,CONCORDIA,Antioquia,-75.90014759411937,6.057464554238723,5.7,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,CENTRAL HIDROELÉCTRICA CONCORDIA S.A.S. E.S.P.,2016-12-21,2016.0,2026-08-03,0.0,SI,22.0,True,True,SIMEM + UPME
2SW1,EL EDEN,Are0128,Area Suroccidental,Are0022,SubArea CQR,Hidraulica,No Despachado Centralmente,PRIG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,EL EDEN,CALDAS,17541.0,PENSILVANIA,Eje Cafetero,-75.16700059658166,5.407100374806905,19.9,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,PROELECTRICA S.A.S E.S.P.,2017-03-01,2017.0,2026-08-03,3.7092,SI,202.0,True,True,SIMEM + UPME
2SXQ,BIOENERGY,Are0056,Area Oriental,Are0027,SubArea Meta,Termica,No Despachado Centralmente,CHVG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,BIOENERGY,META,50573.0,PUERTO LÓPEZ,Oriente,-72.64573025408605,4.014315937731884,19.9,COGENERADOR,BAGAZO,ND,COGENERADOR,OPERACIÓN,AES COLOMBIA & CIA. S.C.A. E.S.P.,2017-04-21,2017.0,2026-08-03,0.0,NO,424.0,True,True,SIMEM + UPME
2SXS,,,,,,,,,,,,COGENERADOR PROENCA II,CAUCA,19142.0,CALOTO,Pacífico,-76.32118995845043,3.0629100947885206,17.0,COGENERADOR,BAGAZO,ND,COGENERADOR,INACTIVO,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,2017-03-24,2017.0,2026-08-03,0.1,NO,240.0,False,True,Solo UPME
2T1L,EL MOLINO,Are0002,Area Antioquia,Are0015,SubArea Antioquia,Hidraulica,No Despachado Centralmente,ISGG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,EL MOLINO,ANTIOQUIA,5197.0,COCORNÁ,Antioquia,-75.16031703775977,6.005611510393588,19.9,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ISAGEN S.A. E.S.P.,2017-04-18,2017.0,2026-08-03,1.0236,SI,19.0,True,True,SIMEM + UPME
2T4P,SAN MATIAS,Are0002,Area Antioquia,Are0015,SubArea Antioquia,Hidraulica,No Despachado Centralmente,ISGG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,SAN MATIAS,ANTIOQUIA,5197.0,COCORNÁ,Antioquia,-75.16031703775977,6.005611510393588,19.9,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ISAGEN S.A. E.S.P.,2017-04-24,2017.0,2026-08-03,1.0237,SI,20.0,True,True,SIMEM + UPME
2T7D,AUTOG CANTAYUS,Are0002,Area Antioquia,Are0015,SubArea Antioquia,Hidraulica,No Despachado Centralmente,GECG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,AUTOG CANTAYUS,ANTIOQUIA,5190.0,CISNEROS,Antioquia,-75.08253157918377,6.550081157742059,4.32,HIDRAULICA,AGUA,ND,AUTOGENERADOR,OPERACIÓN,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,2017-05-19,2017.0,2026-08-03,1.433,NO,17.0,True,True,SIMEM + UPME
2TUT,LUZMA I,Are0002,Area Antioquia,Are0015,SubArea Antioquia,Hidraulica,No Despachado Centralmente,ISGG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,LUZMA I,ANTIOQUIA,5031.0,AMALFI,Antioquia,-74.98129809431317,6.977657056943432,19.6,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ISAGEN S.A. E.S.P.,2017-10-06,2017.0,2026-08-03,3.6594,SI,2.0,True,True,SIMEM + UPME
2TUV,LUZMA II,Are0002,Area Antioquia,Are0015,SubArea Antioquia,Hidraulica,No Despachado Centralmente,ISGG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,LUZMA II,ANTIOQUIA,5031.0,AMALFI,Antioquia,-74.98129809431317,6.977657056943432,19.6,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ISAGEN S.A. E.S.P.,2017-10-06,2017.0,2026-08-03,3.6351,SI,3.0,True,True,SIMEM + UPME
2TYI,,,,,,,,,,,,AUTOG CELSIA SOLAR YUMBO,VALLE DEL CAUCA,76892.0,YUMBO,Pacífico,-76.51099150889527,3.595908339346365,9.0,SOLAR,RAD SOLAR,ND,AUTOGENERADOR,PRUEBAS,CELSIA COLOMBIA S.A. E.S.P.,2019-11-02,2019.0,2026-08-03,0.0,NO,639.0,False,True,Solo UPME
2U1G,LAS PALMAS,Are0002,Area Antioquia,Are0015,SubArea Antioquia,Hidraulica,No Despachado Centralmente,GNCG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,LAS PALMAS,ANTIOQUIA,5686.0,SANTA ROSA DE OSOS,Antioquia,-75.43813780544396,6.675835083196788,2.8,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,VATIA S.A. E.S.P.,2017-08-29,2017.0,2026-08-03,0.15,SI,72.0,True,True,SIMEM + UPME
2U5P,PROENCA II 1,Are0128,Area Suroccidental,Are0019,SubArea Cauca-Narino,Termica,No Despachado Centralmente,PECG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,PROENCA II 1,CAUCA,19300.0,GUACHENÉ,Pacífico,-76.39174144366041,3.144672538074626,17.0,TERMICA,CARBON,ND,NORMAL,OPERACIÓN,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,2017-10-09,2017.0,2026-08-03,0.0,SI,244.0,True,True,SIMEM + UPME
